event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
47,NoRole,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
47,NoState,0.39,14.61,AblationNPC_04,Roamer,12.22,1,0.10
48,Full,7.99,5.16,AblationNPC_01,Roamer,19.74,1,0.80
48,NoLOS,7.99,5.16,AblationNPC_01,Roamer,19.74,1,0.80
48,NoDistance,7.99,5.16,AblationNPC_01,Roamer,19.74,1,0.80
48,NoRole,7.99,5.16,AblationNPC_00,Guard,16.20,1,1.00
48,NoState,7.99,5.16,AblationNPC_04,Roamer,17.98,1,0.10
49,Full,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
49,NoLOS,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
49,NoDistance,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
49,NoRole,6.45,-6.32,AblationNPC_00,Guard,4.67,1,1.00
49,NoState,6.45,-6.32,AblationNPC_01,Roamer,19.02,1,0.80
